|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |     -1|   0   |    0|    0|     -1 |
|1   |     0|0011000000111001|  0  | -12346|   0   |12345|    1|     -1 |
|1+  |     0|1110110000010000|  0  |     -2|   0   |12345|    1|     -2 |
|2   |     0|1110110000010000|  0  |     -3|   0   |32766|12345|     -2 |
|2+  |     0|0101101110100000|  0  |      0|   0   |32766|12345|      0 |
|3   |     0|0101101110100000|  0  |      0|   0   |23456|12346|      0 |
|3+  |     0|1110000111110000|  0  |      0|   0   |23456|12346|      0 |
|4   |     0|1110000111110000|  0  |      0|   0   |    0|23456|      0 |
|4+  |     0|0000001111101011|  0  |      0|   0   |    0|23456|      0 |
|5   |     0|0000001111101011|  0  |      0|   0   | 1003|23457|      0 |
|5+  |     0|1110001100001000|  0  |      0|   0   | 1003|23457|      0 |
|6   |     0|1110001100001000|  0  |      0|   0   |    0| 1003|      0 |
|6+  |     0|0000001111101100|  0  |      0|   0   |    0| 1003|      0 |
|7   |     0|0000001111101100|  0  |      0|   0   | 1004| 1004|      0 |
|7+  |     0|1110001110011000|  0  |      0|   0   | 1004| 1004|      0 |
|8   |     0|1110001110011000|  0  |      0|   0   |    0| 1004|      0 |
|8+  |     0|0000001111101000|  0  |      0|   0   |    0| 1004|      0 |
|9   |     0|0000001111101000|  0  |      0|   0   | 1000| 1005|      0 |
|9+  | 11111|1111010011110000|  0  |     -1|   0   | 1000| 1005|     -1 |
|10  | 11111|1111010011110000|  0  |     -1|   0   |32767| 1000|     -1 |
|10+ | 11111|0000000000001110|  0  |  32767|   0   |32767| 1000|  32767 |
|11  | 11111|0000000000001110|  0  |     14|   0   |   14| 1001|  32767 |
|11+ | 11111|1110001100000100|  0  |      0|   0   |   14| 1001|      0 |
|12  | 11111|1110001100000100|  0  |      0|   0   |    0|   14|      0 |
|12+ | 11111|0000001111100111|  0  |      0|   0   |    0|   14|      0 |
|13  | 11111|0000001111100111|  0  |      0|   0   |  999|   15|      0 |
|13+ | 11111|1111110111100000|  0  |  11112|   0   |  999|   15|  11112 |
|14  | 11111|1111110111100000|  0  |  11112|   0   |11112|  999|  11112 |
|14+ | 11111|1110001100101000|  0  |      0|   0   |11112|  999|      0 |
|15  | 11111|1110001100101000|  0  |      0|   0   |    0|11112|      0 |
|15+ | 11111|0000000000010101|  0  |      0|   0   |    0|11112|      0 |
|16  | 11111|0000000000010101|  0  |      0|   0   |   21|11113|      0 |
|16+ | 11111|1110011111000010|  0  |     -1|   0   |   21|11113|     -1 |
|17  | 11111|1110011111000010|  0  |     -1|   0   |32767|   21|     -1 |
|17+ | 11111|0000000000000010|  0  |  32767|   0   |32767|   21|  32767 |
|18  | 11111|0000000000000010|  0  |      2|   0   |    2|   22|  32767 |
|18+ | 11111|1110000010111000|  0  |      0|   0   |    2|   22|      0 |
|19  | 11111|1110000010111000|  0  |      0|   0   |    0|    2|      0 |
|19+ | 11111|1111110111001000|  0  |  11112|   0   |    0|    2|  11112 |
|20  | 11111|1111110111001000|  0  |  11112|   0   |11112|    0|  11112 |
|20+ | 11111|1111110010101000|  0  |  11111|   0   |11112|    0|  11111 |
|21  | 11111|1111110010101000|  0  |  11111|   0   |11111|11112|  11111 |
|21+ | 11111|0000001111101000|  0  |      0|   0   |11111|11112|      0 |
|22  | 11111|0000001111101000|  0  |      0|   0   | 1000|11113|      0 |
|22+ | 11111|1110111010010000|  0  |     -1|   0   | 1000|11113|     -1 |
